ID,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,VISITAS_CAPA,USOU_APP,PERFIL,PES_GENERO,PES_NASCIMENTO_DATA,ATR_PF_GEO_RENDA_FAM,IDADE
3148,3,4,3,0,NAO,ASSINANTE,M,1976-05-14,DE 3SM ATE 4SM,45.60
3442,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 8SM ATE 14SM,21.95
1255,0,32,11,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
828,0,0,0,0,NAO,ASSINANTE,M,1989-06-09,DE 4SM ATE 8SM,32.52
1143,0,6,9,2,NAO,ASSINANTE,F,2000-01-01,DE 8SM ATE 14SM,21.95
2776,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 8SM ATE 14SM,21.95
3665,0,1,1,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
820,0,32,71,35,SIM,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
3440,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 8SM ATE 14SM,21.95
3552,3,4,4,0,NAO,ASSINANTE,M,1996-04-03,DE 8SM ATE 14SM,25.70
1140,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 8SM ATE 14SM,21.95
3533,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
433,0,2,3,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
3423,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
550,1,54,6,499,SIM,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
3424,1,4,1,6,SIM,ASSINANTE,M,2000-01-01,DE 14SM ATE 25SM,21.95
803,3,12,14,5,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
2497,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
3163,18,4,3,12,SIM,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1375,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 14SM ATE 25SM,21.95
1805,0,6,5,0,NAO,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
145,296,52,0,543,SIM,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
2677,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
2400,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
1233,0,0,0,0,NAO,ASSINANTE,M,1985-12-31,DE 3SM ATE 4SM,35.96
1914,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
95,4,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
2165,9,58,191,3,NAO,ASSINANTE,F,1988-05-29,DE 8SM ATE 14SM,33.55
135,25,35,0,153,SIM,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
3681,0,10,1,0,NAO,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
1930,6,6,9,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1527,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 2SM ATE 3SM,21.95
2546,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
2424,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
1416,0,4,4,0,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
1944,1,1,0,12,SIM,ASSINANTE,M,1992-10-29,DE 14SM ATE 25SM,29.13
1803,17,46,12,130,SIM,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
2207,0,2,1,1,NAO,ASSINANTE,M,2000-01-01,DE 2SM ATE 3SM,21.95
271,12,27,19,18,SIM,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
1566,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
3253,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
619,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1579,2,23,6,42,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
2947,35,5,1,10,NAO,ASSINANTE,M,2000-01-01,DE 14SM ATE 25SM,21.95
159,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
1195,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 14SM ATE 25SM,21.95
2688,15,18,15,0,NAO,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
933,0,0,0,0,NAO,ASSINANTE,M,1990-10-06,DE 3SM ATE 4SM,31.19
34,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
634,11,51,101,356,SIM,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
2722,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 8SM ATE 14SM,21.95
3071,38,41,71,20,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
417,22,26,25,103,SIM,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
3182,14,4,3,25,SIM,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
2478,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 8SM ATE 14SM,21.95
346,15,5,0,84,SIM,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
2963,120,59,0,725,SIM,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
485,126,58,387,61,SIM,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
2745,0,4,3,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1316,16,19,38,0,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
2791,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1624,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
2480,2,6,0,24,SIM,ASSINANTE,M,1983-09-11,DE 3SM ATE 4SM,38.27
3494,36,20,2,32,SIM,ASSINANTE,M,2000-01-01,ACIMA DE 25SM,21.95
3672,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
1062,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 14SM ATE 25SM,21.95
1989,2,32,18,96,SIM,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
2503,0,0,0,0,NAO,ASSINANTE,F,1991-06-18,DE 8SM ATE 14SM,30.49
2303,26,3,0,55,SIM,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1706,5,13,0,41,SIM,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
2870,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
3064,0,52,318,533,SIM,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
904,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1159,50,35,99,8,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
2740,12,48,71,204,SIM,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
3683,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 8SM ATE 14SM,21.95
1645,20,30,104,0,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
3588,4,17,27,1,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
1771,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
1747,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
332,18,7,0,46,SIM,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1882,20,11,12,3,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
2568,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 8SM ATE 14SM,21.95
227,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
3135,88,22,11,2,NAO,ASSINANTE,M,1983-10-04,DE 8SM ATE 14SM,38.20
1874,3,5,0,18,SIM,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
1713,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
1266,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
2925,0,20,4,1,NAO,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
1905,0,1,2,0,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
785,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
1906,53,60,289,495,SIM,ASSINANTE,M,1967-02-05,DE 3SM ATE 4SM,54.87
2274,39,16,4,0,NAO,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
2634,0,5,5,0,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
968,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
1545,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 8SM ATE 14SM,21.95
1361,7,58,159,219,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
851,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
895,0,9,5,1,NAO,ASSINANTE,F,1982-08-13,DE 4SM ATE 8SM,39.35
171,6,20,30,2,SIM,ASSINANTE,F,2000-01-01,DE 8SM ATE 14SM,21.95
1250,0,0,0,0,NAO,ASSINANTE,M,1943-10-19,DE 14SM ATE 25SM,78.19
3621,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
3753,16,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
3557,1,4,9,0,NAO,ASSINANTE,F,2000-01-01,DE 8SM ATE 14SM,21.95
3370,92,38,27,8,SIM,ASSINANTE,M,1967-07-13,DE 3SM ATE 4SM,54.44
2322,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
1971,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1365,0,1,1,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1112,3,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
3124,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
2935,30,11,14,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
3447,0,5,5,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
2593,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
2016,2,11,14,3,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1184,0,0,0,0,NAO,ASSINANTE,F,1987-10-22,DE 8SM ATE 14SM,34.15
449,12,3,2,11,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
2067,0,1,2,0,NAO,ASSINANTE,M,1942-01-09,DE 3SM ATE 4SM,79.97
182,3,2,5,0,NAO,ASSINANTE,M,1943-08-26,DE 8SM ATE 14SM,78.34
790,12,11,0,93,SIM,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1932,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
3489,1,12,0,83,SIM,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
