ID,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,VISITAS_CAPA,USOU_APP
25114,62,40,25,27,NAO
117412,0,4,4,0,NAO
122615,0,12,14,0,NAO
118501,0,13,5,0,NAO
322862,0,1,0,0,NAO
220393,0,26,3,4,NAO
285729,5,1,0,5,SIM
239961,0,13,15,0,NAO
34566,4,24,24,27,SIM
281951,141,50,0,962,SIM
349631,0,15,1,19,NAO
106609,1,7,19,0,NAO
36788,0,28,30,66,NAO
45749,0,3,3,0,NAO
309877,0,13,17,0,NAO
221176,22,5,0,20,SIM
287384,0,27,39,6,NAO
302994,0,16,9,9,NAO
228276,9,30,0,59,SIM
325072,4,4,0,40,SIM
52647,0,3,2,0,NAO
171224,0,2,2,0,NAO
25052,0,3,4,0,NAO
15639,0,3,4,0,NAO
73118,3,17,19,4,SIM
369042,143,43,19,6,NAO
207607,0,2,2,0,NAO
278717,33,34,15,77,NAO
151858,0,1,1,0,NAO
283393,10,3,0,35,SIM
326225,0,13,19,0,NAO
240582,0,3,1,4,NAO
276409,1,2,2,0,NAO
81151,0,1,0,0,NAO
214163,2,50,115,173,NAO
188873,0,1,1,0,NAO
205377,0,3,1,0,NAO
148652,0,4,3,0,NAO
194215,0,2,2,0,NAO
19591,5,3,1,0,NAO
370518,0,19,36,0,NAO
298433,0,1,1,0,NAO
10991,4,3,3,0,NAO
326640,12,16,1,31,SIM
362072,1,4,0,11,SIM
125169,0,2,2,0,NAO
58198,4,49,106,2,NAO
87721,0,20,5,5,NAO
172860,2,5,3,7,SIM
349995,0,6,5,0,NAO
132197,14,15,4,1,NAO
116368,0,2,1,0,NAO
36428,0,3,3,0,NAO
311000,0,1,1,0,NAO
162465,1,1,3,0,NAO
212630,0,1,2,0,NAO
60111,1,9,14,0,NAO
369380,0,1,1,0,NAO
118161,0,6,3,0,NAO
198315,0,2,0,0,NAO
284452,0,17,10,0,NAO
148988,202,42,28,6,NAO
41165,0,2,2,0,NAO
272715,41,27,8,0,NAO
216095,0,1,1,0,NAO
25289,0,2,4,0,NAO
110210,0,3,3,0,NAO
261805,0,11,14,0,NAO
233477,0,1,0,0,NAO
154350,0,1,1,0,NAO
172429,0,1,0,0,NAO
140996,0,60,333,673,SIM
147994,13,12,0,55,SIM
96196,0,9,11,0,NAO
227550,0,1,1,0,NAO
236831,0,14,7,24,NAO
296179,0,2,2,0,NAO
57987,4,12,10,21,NAO
