ID,PERFIL,PES_GENERO,PES_NASCIMENTO_DATA,ATR_PF_GEO_RENDA_FAM
2407,ASSINANTE,M,01/01/2000 00:00:00,
2577,ASSINANTE,F,01/01/2000 00:00:00,
433,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
3423,ASSINANTE,F,01/01/2000 00:00:00,DE 4SM ATE 8SM
550,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
528,ASSINANTE,M,01/01/2000 00:00:00,
2110,ASSINANTE,M,01/01/2000 00:00:00,
3424,ASSINANTE,M,01/01/2000 00:00:00,DE 14SM ATE 25SM
803,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
2497,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
3163,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
1375,ASSINANTE,F,01/01/2000 00:00:00,DE 14SM ATE 25SM
1805,ASSINANTE,F,01/01/2000 00:00:00,DE 4SM ATE 8SM
2923,ASSINANTE,F,01/01/2000 00:00:00,
2965,ASSINANTE,M,01/01/2000 00:00:00,
2346,ASSINANTE,M,01/01/2000 00:00:00,
145,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
2677,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
2400,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
1233,ASSINANTE,M,31/12/1985 00:00:00,DE 3SM ATE 4SM
1967,ASSINANTE,M,01/01/2000 00:00:00,
893,ASSINANTE,F,01/01/2000 00:00:00,
1825,ASSINANTE,F,01/01/2000 00:00:00,
1914,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
3,ASSINANTE,M,01/01/2000 00:00:00,
3398,ASSINANTE,M,01/01/2000 00:00:00,
95,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
2165,ASSINANTE,F,29/05/1988 00:00:00,DE 8SM ATE 14SM
135,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
2403,ASSINANTE,M,01/01/2000 00:00:00,
3681,ASSINANTE,F,01/01/2000 00:00:00,DE 3SM ATE 4SM
2324,ASSINANTE,M,01/01/2000 00:00:00,
3044,ASSINANTE,M,01/01/2000 00:00:00,
2175,ASSINANTE,F,01/01/2000 00:00:00,
1930,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
2987,ASSINANTE,F,01/01/2000 00:00:00,
1527,ASSINANTE,M,01/01/2000 00:00:00,DE 2SM ATE 3SM
2546,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
2424,ASSINANTE,F,01/01/2000 00:00:00,DE 3SM ATE 4SM
1416,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
3162,ASSINANTE,M,01/01/2000 00:00:00,
1944,ASSINANTE,M,29/10/1992 00:00:00,DE 14SM ATE 25SM
1803,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
2259,ASSINANTE,M,01/01/2000 00:00:00,
1311,ASSINANTE,M,01/01/2000 00:00:00,
2207,ASSINANTE,M,01/01/2000 00:00:00,DE 2SM ATE 3SM
