PERFIL,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,PES_GENERO,VISITAS_CAPA,USOU_APP,IDADE,ATR_PF_GEO_RENDA_FAM
True,46,20,31,False,7,False,65.03,3
True,1,4,0,True,54,True,21.95,3
True,0,0,0,False,0,False,21.95,3
True,0,0,0,True,0,False,21.95,3
True,0,0,0,False,0,False,45.07,3
True,0,0,0,True,0,False,21.95,3
True,0,0,0,False,0,False,45.95,3
True,5,21,23,True,6,False,21.95,3
True,0,0,0,False,0,False,21.95,3
True,0,0,0,False,0,False,21.95,3
True,6,15,16,True,1,False,21.95,5
True,0,16,25,False,0,False,21.95,3
True,12,46,148,False,2,False,21.95,4
True,0,0,0,False,0,False,21.95,4
True,0,0,0,False,0,False,21.95,3
True,0,0,0,False,0,False,21.95,3
True,0,0,0,False,0,False,41.66,3
True,0,0,0,False,0,False,21.95,6
True,25,27,41,True,3,False,21.95,3
True,0,0,0,True,0,False,21.95,3
True,0,0,0,False,0,False,21.95,3
True,0,12,6,False,15,False,55.05,2
True,0,0,0,False,0,False,42.61,4
True,0,11,8,True,0,False,21.95,3
True,14,60,524,True,908,True,21.95,6
True,0,10,6,False,1,False,21.95,3
True,57,32,77,False,133,True,21.95,3
True,18,11,10,False,0,False,21.95,3
True,0,0,0,False,0,False,21.95,3
True,0,1,1,True,0,False,21.95,4
True,2,54,149,True,433,True,21.95,3
True,3,13,26,False,5,False,40.04,3
True,0,0,0,False,0,False,21.95,3
True,23,11,1,False,76,True,21.95,3
True,1,0,0,False,0,False,21.95,3
True,13,19,12,True,3,False,21.95,3
True,1,0,0,False,0,False,21.95,3
True,15,44,39,False,304,True,21.95,4
True,33,23,36,False,14,False,21.95,3
True,8,2,0,True,6,True,54.48,3
True,12,6,7,False,0,False,21.95,4
True,9,0,0,False,0,False,54.95,3
True,0,0,0,False,0,False,21.95,3
True,0,0,0,True,0,False,21.95,3
True,32,57,146,False,304,True,21.95,4
True,17,18,22,False,0,False,21.95,3
True,0,9,12,False,0,False,21.95,3
True,2,20,63,False,142,True,21.95,4
True,46,33,30,False,75,False,33.9,5
True,4,0,0,False,0,False,21.95,4
True,0,0,0,False,0,False,21.95,3
True,0,0,0,True,0,False,37.86,3
True,0,0,0,False,0,False,21.95,4
True,0,0,0,False,0,False,26.45,3
True,0,0,0,False,0,False,21.95,3
True,96,59,0,False,446,True,21.95,3
True,0,0,0,False,0,False,21.95,3
True,0,15,21,False,39,False,21.95,3
True,33,17,1,False,78,True,21.95,3
True,2,3,0,True,24,True,21.95,3
True,0,0,0,False,0,False,21.95,6
True,0,1,1,True,0,False,21.95,3
False,0,1,0,True,1,False,70.78,3
False,0,22,32,True,0,False,40.45,4
False,46,21,9,False,4,False,48.15,3
False,20,7,10,False,1,False,34.28,3
False,0,4,4,True,1,False,30.51,3
False,0,13,5,False,0,False,35.13,3
False,0,28,30,False,66,False,79.58,4
False,22,5,0,True,20,True,54.49,4
False,0,27,39,False,6,False,69.24,3
False,0,16,9,False,9,False,36.34,4
False,0,3,1,False,4,False,40.32,6
False,0,6,5,True,0,False,38.23,3
False,0,1,1,True,0,False,45.84,4
False,0,6,3,False,0,False,64.51,4
False,0,3,3,True,0,False,32.98,3
False,0,11,14,True,0,False,25.59,3
False,0,1,1,True,0,False,38.53,3
False,0,14,7,False,24,False,47.27,3
False,6,11,9,True,0,False,58.17,2
False,0,3,3,True,0,False,32.32,5
False,63,41,15,False,6,False,48.11,5
False,48,1,0,False,0,False,35.91,3
False,0,7,7,False,0,False,30.99,3
False,78,36,10,False,0,False,43.07,3
False,0,60,522,False,5,False,40.09,4
False,2,8,6,False,0,False,40.81,3
False,18,20,3,False,34,True,37.42,4
False,0,1,0,True,0,False,42.91,4
False,2,37,64,False,2,False,47.6,3
False,0,17,24,False,0,False,36.04,3
False,0,22,17,True,17,False,36.64,3
False,0,1,1,False,0,False,59.51,3
False,19,23,8,True,12,True,39.12,3
False,0,2,2,True,0,False,47.59,3
False,48,47,0,True,69,True,60.98,3
False,8,8,16,True,3,False,36.1,3
False,0,6,2,True,0,False,54.66,3
False,0,10,10,False,7,False,32.29,3
False,0,2,2,True,0,False,36.26,3
False,0,8,1,True,10,False,66.53,5
